"BILL OF MATERIAL FROM TEST_WIDERSTAENDE_AUS_RCL.SCH, 29 PARTS, GROUPED BY VALUES, AS OF 05.10.2010 16:00:00"
"Part","Value","Device","Package","Description","Description2","Qty","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3",
"C101, C152, C191, C291, C292, C391, C491, C611, C791, C891, C912","100n","C-EUC0805","C0805","CAPACITOR, European symbol","Kondensator, 0805, Z5U, 50V, 0,1µF","11"," "," ","Beta","2644422P","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=2644422P&x=26&y=20"," "," "," "," "," "," "," "
"C102, C411","100p","C-EUC0805","C0805","CAPACITOR, European symbol","Kondensator, COG, 0805, 100V, 100pF","2"," "," ","Beta","2989258P","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=2989258P&x=0&y=0"," "," "," "," "," "," "," "
"C151","10uF","CPOL-EUB","PANASONIC_B","POLARIZED CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C211, C612, C613","22uF","CPOL-EUA/3216-18W","A/3216-18W","POLARIZED CAPACITOR, European symbol"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"C301","0p","C-EUC0805","C0805","CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C311","33p","C-EUC0805","C0805","CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C591","10n","C-EUC0805","C0805","CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C911","47uF","CPOL-EUC","PANASONIC_C","POLARIZED CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C921","0.22F","CPOL-EU140CLH-1010","140CLH-1010","POLARIZED CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"CON1","TYCO-AMP_USBUSB-B_SMT","TYCO-AMP_USBUSB-B_SMT","TYCO-AMP_USB-B_SMT","TYCO-AMP USB-Connectors"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"CON2","HEADER-2X5SMD","HEADER-2X5SMD","2X5SMD","Header 2X5 2.54mm ISP, JTAG, ..."," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
